"행정구역","2025년07월_총인구수","2025년07월_세대수","2025년07월_세대당 인구","2025년07월_남자 인구수","2025년07월_여자 인구수","2025년07월_남여 비율"
"충청남도 천안시 (4413000000)","662,677","316,391","          2.09","339,926","322,751","          1.05"
"충청남도 천안시 동남구 (4413100000)","261,137","126,464","          2.06","132,357","128,780","          1.03"
"충청남도 천안시 동남구 목천읍(4413125000)","22,263","11,233","          1.98","11,444","10,819","          1.06"
"충청남도 천안시 동남구 풍세면(4413131000)","10,469","5,374","          1.95","5,517","4,952","          1.11"
"충청남도 천안시 동남구 광덕면(4413132000)","3,996","2,278","          1.75","2,015","1,981","          1.02"
"충청남도 천안시 동남구 북면(4413133000)","4,113","2,441","          1.68","2,159","1,954","          1.10"
"충청남도 천안시 동남구 성남면(4413134000)","2,811","1,551","          1.81","1,483","1,328","          1.12"
"충청남도 천안시 동남구 수신면(4413135000)","2,074","1,251","          1.66","1,153","921","          1.25"
"충청남도 천안시 동남구 병천면(4413136000)","5,952","3,622","          1.64","3,274","2,678","          1.22"
"충청남도 천안시 동남구 동면(4413137000)","1,905","1,131","          1.68","1,039","866","          1.20"
"충청남도 천안시 동남구 중앙동(4413151000)","4,612","2,837","          1.63","2,424","2,188","          1.11"
"충청남도 천안시 동남구 문성동(4413152000)","7,808","3,886","          2.01","3,951","3,857","          1.02"
"충청남도 천안시 동남구 원성1동(4413153000)","7,649","4,017","          1.90","3,962","3,687","          1.07"
"충청남도 천안시 동남구 원성2동(4413154000)","8,701","4,818","          1.81","4,456","4,245","          1.05"
"충청남도 천안시 동남구 봉명동(4413155000)","17,018","9,148","          1.86","8,686","8,332","          1.04"
"충청남도 천안시 동남구 일봉동(4413156000)","23,503","9,554","          2.46","11,705","11,798","          0.99"
"충청남도 천안시 동남구 신방동(4413157000)","42,548","19,295","          2.21","21,902","20,646","          1.06"
"충청남도 천안시 동남구 청룡동(4413158000)","57,873","23,671","          2.44","28,887","28,986","          1.00"
"충청남도 천안시 동남구 신안동(4413159000)","37,842","20,357","          1.86","18,300","19,542","          0.94"
"충청남도 천안시 서북구 (4413300000)","401,540","189,927","          2.11","207,569","193,971","          1.07"
"충청남도 천안시 서북구 성환읍(4413325000)","21,790","11,154","          1.95","11,360","10,430","          1.09"
"충청남도 천안시 서북구 성거읍(4413325300)","21,529","10,434","          2.06","11,394","10,135","          1.12"
"충청남도 천안시 서북구 직산읍(4413325600)","19,287","10,011","          1.93","10,624","8,663","          1.23"
"충청남도 천안시 서북구 입장면(4413331000)","7,565","4,198","          1.80","4,125","3,440","          1.20"
"충청남도 천안시 서북구 성정1동(4413351000)","16,682","9,462","          1.76","8,871","7,811","          1.14"
"충청남도 천안시 서북구 성정2동(4413352000)","24,628","17,655","          1.39","13,771","10,857","          1.27"
"충청남도 천안시 서북구 쌍용1동(4413353000)","12,511","6,173","          2.03","6,154","6,357","          0.97"
"충청남도 천안시 서북구 쌍용2동(4413354000)","34,211","14,763","          2.32","16,783","17,428","          0.96"
"충청남도 천안시 서북구 쌍용3동(4413355000)","17,151","8,104","          2.12","8,270","8,881","          0.93"
"충청남도 천안시 서북구 백석동(4413356000)","40,636","15,432","          2.63","20,467","20,169","          1.01"
"충청남도 천안시 서북구 불당1동(4413356600)","31,435","12,943","          2.43","15,784","15,651","          1.01"
"충청남도 천안시 서북구 불당2동(4413356700)","37,133","14,238","          2.61","18,591","18,542","          1.00"
"충청남도 천안시 서북구 부성1동(4413358000)","53,305","27,711","          1.92","27,649","25,656","          1.08"
"충청남도 천안시 서북구 부성2동(4413359000)","63,677","27,649","          2.30","33,726","29,951","          1.13"
