adm_cd,gu,emd_nm,pop_total,pop_65p,aed_count,aed_per_10k,aed_per_1k_65p
34011320,동남구,광덕면,3996,1735,15,37.53753753753754,8.645533141210375
34011370,동남구,동면,1905,966,86,451.4435695538058,89.02691511387164
34011110,동남구,목천읍,22263,4976,23,10.331042536944706,4.622186495176849
34011520,동남구,문성동,7808,1221,0,0.0,0.0
34011360,동남구,병천면,5952,1946,22,36.96236559139785,11.305241521068858
34011550,동남구,봉명동,17018,3266,6,3.525678693148431,1.837109614206981
34011330,동남구,북면,4113,1648,183,444.9307075127644,111.04368932038835
34011340,동남구,성남면,2811,1283,4,14.22981145499822,3.117692907248636
34011350,동남구,수신면,2074,920,8,38.57280617164899,8.695652173913043
34011570,동남구,신방동,42548,4919,9,2.115258061483501,1.829640170766416
34011590,동남구,신안동,37842,5961,0,0.0,0.0
34011530,동남구,원성1동,7649,2203,0,0.0,0.0
34011540,동남구,원성2동,8701,2723,2,2.2985863693828295,0.7344840249724568
34011560,동남구,일봉동,23503,3779,4,1.701910394417734,1.0584810796507012
34011510,동남구,중앙동,4612,1636,2,4.336513443191674,1.2224938875305624
34011580,동남구,청룡동,57873,7593,0,0.0,0.0
34011310,동남구,풍세면,10469,2067,76,72.59528130671507,36.768263183357526
34012580,서북구,백석동,40636,3396,58,14.273058371886997,17.078916372202592
34012600,서북구,부성1동,53305,4573,2,0.3751993246412157,0.4373496610540127
34012610,서북구,부성2동,63677,3391,0,0.0,0.0
34012620,서북구,불당1동,31435,2019,6,1.9087004930809606,2.9717682020802374
34012630,서북구,불당2동,37133,1357,14,3.7702313306223574,10.316875460574797
34012120,서북구,성거읍,21529,3881,27,12.541223466022574,6.956969853130637
34012510,서북구,성정1동,16682,3478,0,0.0,0.0
34012520,서북구,성정2동,24628,3206,2,0.8120838070488874,0.6238303181534622
34012110,서북구,성환읍,21790,6538,8,3.67140890316659,1.223615784643622
34012530,서북구,쌍용1동,12511,2634,5,3.9964830948765084,1.8982536066818527
34012540,서북구,쌍용2동,34211,4429,0,0.0,0.0
34012550,서북구,쌍용3동,17151,3040,0,0.0,0.0
34012310,서북구,입장면,7565,2635,15,19.828155981493722,5.692599620493358
34012130,서북구,직산읍,19287,3610,18,9.332711152589827,4.986149584487534
